#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 2.696050e-001  9.704398e+002  5.031839e+001
 2.722360e-001  9.530626e+002  4.971962e+001
 2.748670e-001  8.712666e+002  4.908667e+001
 2.774980e-001  9.024346e+002  4.946971e+001
 2.801290e-001  9.105089e+002  4.850572e+001
 2.827600e-001  8.235154e+002  4.747250e+001
 2.853920e-001  8.187235e+002  4.654521e+001
 2.880230e-001  8.618078e+002  4.763749e+001
 2.906540e-001  8.596553e+002  4.701471e+001
 2.932850e-001  8.620779e+002  4.667718e+001
 2.959160e-001  8.204518e+002  4.734401e+001
 2.985470e-001  8.134911e+002  4.611627e+001
 3.011780e-001  8.595246e+002  4.686008e+001
 3.038090e-001  8.687714e+002  4.597462e+001
 3.064400e-001  8.740804e+002  4.648518e+001
 3.090710e-001  7.928992e+002  4.509651e+001
 3.117030e-001  8.580761e+002  4.545108e+001
 3.143340e-001  7.864294e+002  4.425655e+001
 3.169650e-001  8.049278e+002  4.446105e+001
 3.195960e-001  6.788121e+002  4.366388e+001
 3.222270e-001  7.424475e+002  4.346578e+001
 3.248580e-001  8.474263e+002  4.474804e+001
 3.274890e-001  8.148640e+002  4.471647e+001
 3.301200e-001  7.280796e+002  4.305611e+001
 3.327510e-001  7.552885e+002  4.388406e+001
 3.353830e-001  7.029419e+002  4.246984e+001
 3.380140e-001  7.584092e+002  4.287408e+001
 3.406450e-001  6.977589e+002  4.244321e+001
 3.432760e-001  7.192318e+002  4.233631e+001
 3.459070e-001  7.846197e+002  4.334630e+001
 3.485380e-001  7.391574e+002  4.117470e+001
 3.511690e-001  7.583917e+002  4.253074e+001
 3.538000e-001  7.929176e+002  4.286014e+001
 3.564310e-001  7.949287e+002  4.206191e+001
 3.590630e-001  7.514639e+002  4.210268e+001
 3.616940e-001  7.589185e+002  4.172060e+001
 3.643250e-001  7.502817e+002  4.208166e+001
 3.669560e-001  7.255544e+002  4.097999e+001
 3.695870e-001  8.213474e+002  4.169020e+001
 3.722180e-001  7.591363e+002  4.265022e+001
 3.748490e-001  8.032043e+002  4.294970e+001
 3.774800e-001  6.807534e+002  4.307519e+001
 3.801110e-001  5.911795e+002  4.120549e+001
 3.827420e-001  7.381659e+002  4.317337e+001
 3.853740e-001  7.721109e+002  4.464143e+001
 3.880050e-001  7.013114e+002  4.329043e+001
 3.906360e-001  6.793437e+002  4.365924e+001
 3.932670e-001  7.614572e+002  4.394526e+001
 3.958980e-001  6.725814e+002  4.342821e+001
 3.985290e-001  6.926126e+002  4.381561e+001
 4.011600e-001  7.097671e+002  4.401458e+001
 4.037910e-001  5.938509e+002  4.346626e+001
