#SASDB SASDEM2
#Sample description: Merged from concentrations 2.00 and 7.50 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.Yl2596 C:/Users/vives/AppDa
 3.413640e-001  1.469035e+002  9.406921e+000
 3.439980e-001  1.471470e+002  9.529848e+000
 3.466330e-001  1.280002e+002  9.231743e+000
 3.492680e-001  1.538700e+002  9.482814e+000
 3.519020e-001  1.365163e+002  9.448950e+000
 3.545370e-001  1.348529e+002  9.520308e+000
 3.571720e-001  1.338974e+002  9.492329e+000
 3.598060e-001  1.430181e+002  9.644678e+000
 3.624410e-001  1.395438e+002  9.788530e+000
 3.650760e-001  1.435762e+002  9.872328e+000
 3.677100e-001  1.366447e+002  1.000552e+001
 3.703450e-001  1.506764e+002  9.881400e+000
 3.729800e-001  1.495844e+002  1.000130e+001
 3.756140e-001  1.412256e+002  1.003270e+001
 3.782490e-001  1.448840e+002  5.887850e+000
 3.808840e-001  1.427950e+002  5.995940e+000
 3.835180e-001  1.396380e+002  5.896910e+000
 3.861530e-001  1.338850e+002  5.972010e+000
 3.887880e-001  1.255730e+002  5.849780e+000
 3.914220e-001  1.364100e+002  5.917060e+000
 3.940570e-001  1.360110e+002  5.994410e+000
 3.966910e-001  1.301040e+002  5.835660e+000
 3.993260e-001  1.320940e+002  5.929690e+000
 4.019610e-001  1.271770e+002  5.861110e+000
 4.045950e-001  1.242880e+002  5.884390e+000
 4.072300e-001  1.269130e+002  5.981920e+000
 4.098650e-001  1.298970e+002  5.947540e+000
 4.124990e-001  1.323790e+002  5.939040e+000
 4.151340e-001  1.262890e+002  5.729330e+000
 4.177690e-001  1.341380e+002  5.697520e+000
 4.204030e-001  1.245000e+002  5.563200e+000
 4.230380e-001  1.300420e+002  5.520960e+000
 4.256730e-001  1.293200e+002  5.496820e+000
 4.283070e-001  1.317070e+002  5.387370e+000
 4.309420e-001  1.269570e+002  5.354990e+000
 4.335770e-001  1.250380e+002  5.426000e+000
 4.362110e-001  1.202610e+002  5.263390e+000
 4.388460e-001  1.174800e+002  5.242290e+000
 4.414810e-001  1.220750e+002  5.151060e+000
 4.441150e-001  1.261420e+002  5.220860e+000
 4.467500e-001  1.208130e+002  5.178910e+000
 4.493850e-001  1.181860e+002  5.142310e+000
 4.520190e-001  1.151430e+002  5.152870e+000
 4.546540e-001  1.277320e+002  5.132650e+000
 4.572890e-001  1.229020e+002  5.139780e+000
 4.599230e-001  1.205040e+002  5.032670e+000
 4.625580e-001  1.198910e+002  5.006070e+000
 4.651930e-001  1.181680e+002  5.052200e+000
 4.678270e-001  1.169520e+002  4.928570e+000
 4.704620e-001  1.190970e+002  4.993840e+000
 4.730960e-001  1.242070e+002  5.004080e+000
 4.757310e-001  1.173170e+002  5.029130e+000
 4.783660e-001  1.125210e+002  4.930310e+000
 4.810000e-001  1.100230e+002  4.802660e+000
 4.836350e-001  1.182180e+002  4.909970e+000
 4.862700e-001  1.106140e+002  4.814830e+000
 4.889040e-001  1.201060e+002  4.899170e+000
 4.915390e-001  1.186090e+002  4.858830e+000
 4.941740e-001  1.169300e+002  4.842950e+000
 4.968080e-001  1.206890e+002  4.878130e+000
 4.994430e-001  1.111670e+002  4.767690e+000
 5.020780e-001  1.105850e+002  4.739580e+000
 5.047120e-001  1.053470e+002  4.623140e+000
 5.073470e-001  1.091140e+002  4.698480e+000
 5.099820e-001  1.070390e+002  4.687020e+000
 5.126160e-001  1.059120e+002  4.646040e+000
 5.152510e-001  1.163730e+002  4.710050e+000
 5.178860e-001  1.131880e+002  4.656120e+000
 5.205200e-001  1.137510e+002  4.661100e+000
 5.231550e-001  1.140930e+002  4.644540e+000
 5.257900e-001  1.099960e+002  4.570140e+000
 5.284240e-001  1.094460e+002  4.645180e+000
 5.310590e-001  1.076860e+002  4.696350e+000
 5.336940e-001  1.032070e+002  4.720740e+000
 5.363280e-001  1.064180e+002  4.734080e+000
 5.389630e-001  9.982500e+001  4.680900e+000
 5.415970e-001  1.091480e+002  4.786440e+000
 5.442320e-001  1.052580e+002  4.843270e+000
 5.468670e-001  1.068500e+002  4.765650e+000
 5.495010e-001  9.959540e+001  4.726950e+000
 5.521360e-001  9.974950e+001  4.701460e+000
 5.547710e-001  1.039850e+002  4.702410e+000
 5.574050e-001  1.073440e+002  4.728750e+000
 5.600400e-001  1.071030e+002  4.658160e+000
 5.626750e-001  1.085060e+002  4.622040e+000
 5.653090e-001  1.002220e+002  4.537890e+000
 5.679440e-001  9.840090e+001  4.456570e+000
 5.705790e-001  9.805480e+001  4.408740e+000
